stop_name,date_collection_datetime,lbs_collected,compost_created_lbs
Mills Park,11/12/2024,493.8,49
Mills Park,23/12/2024,513.8,51
Mills Park,3/1/2025,364.8,36
Mills Park,27/1/2025,605.4,61
Citizen's Convenience Center,8/1/2025,574.2,57
Citizen's Convenience Center,15/1/2025,750.2,75
Citizen's Convenience Center,24/1/2025,872,87
Citizen's Convenience Center,7/2/2025,478,48
Citizen's Convenience Center,26/2/2025,1151.2,115
Citizen's Convenience Center,28/2/2025,631.6,63
Mills Park,5/2/2025,516.8,52
Mills Park,28/2/2025,305.8,31
Citizen's Convenience Center,21/2/2022,183.8,18
Citizen's Convenience Center,23/2/2022,283,28
Citizen's Convenience Center,25/2/2022,250.8,25
Citizen's Convenience Center,4/3/2022,246.8,25
Citizen's Convenience Center,4/4/2022,649.2,65
Citizen's Convenience Center,15/4/2022,200.8,20
Citizen's Convenience Center,11/5/2022,488.8,49
Citizen's Convenience Center,16/5/2022,724.8,72
Citizen's Convenience Center,22/6/2022,511.8,51
Citizen's Convenience Center,1/7/2022,698.8,70
Citizen's Convenience Center,5/7/2022,548.8,55
Citizen's Convenience Center,8/7/2022,766.8,77
Citizen's Convenience Center,13/7/2022,684.8,68
Citizen's Convenience Center,20/7/2022,504.8,50
Citizen's Convenience Center,27/7/2022,624.8,62
Citizen's Convenience Center,1/8/2022,663.8,66
Citizen's Convenience Center,8/8/2022,483.8,48
Citizen's Convenience Center,19/8/2022,699.8,70
Citizen's Convenience Center,22/8/2022,789.8,79
Citizen's Convenience Center,7/9/2022,494.8,49
Citizen's Convenience Center,9/9/2022,709.8,71
Citizen's Convenience Center,21/9/2022,384.8,38
Citizen's Convenience Center,23/9/2022,495.8,50
Citizen's Convenience Center,30/9/2022,556.6,56
Citizen's Convenience Center,3/10/2022,511.8,51
Citizen's Convenience Center,11/11/2022,0,0
Citizen's Convenience Center,18/11/2022,713.6,71
Citizen's Convenience Center,25/11/2022,364.6,36
Citizen's Convenience Center,28/11/2022,844.4,84
Citizen's Convenience Center,12/12/2022,233.6,23
Citizen's Convenience Center,19/12/2022,654.4,65
Citizen's Convenience Center,23/12/2022,619.4,62
Citizen's Convenience Center,16/1/2023,0,0
Citizen's Convenience Center,6/2/2023,804.4,80
Citizen's Convenience Center,8/2/2023,626.8,63
Citizen's Convenience Center,15/2/2023,536.8,54
Citizen's Convenience Center,10/3/2023,670.6,67
Citizen's Convenience Center,15/3/2023,573.6,57
Citizen's Convenience Center,27/3/2023,642.4,64
Citizen's Convenience Center,31/3/2023,598.4,60
Citizen's Convenience Center,3/4/2023,661.4,66
Citizen's Convenience Center,24/4/2023,634.4,63
Citizen's Convenience Center,28/4/2023,374.8,37
Citizen's Convenience Center,1/5/2023,908.4,91
Citizen's Convenience Center,10/5/2023,541.6,54
Citizen's Convenience Center,24/5/2023,733.6,73
Citizen's Convenience Center,2/6/2023,693,69
Citizen's Convenience Center,16/6/2023,656.8,66
Citizen's Convenience Center,21/6/2023,1007.4,101
Citizen's Convenience Center,28/6/2023,763.6,76
Citizen's Convenience Center,3/7/2023,1080.4,108
Citizen's Convenience Center,31/7/2023,1227.4,123
Citizen's Convenience Center,2/8/2023,466.8,47
Citizen's Convenience Center,7/8/2023,724.4,72
Citizen's Convenience Center,25/8/2023,732.8,73
Citizen's Convenience Center,30/8/2023,535.8,54
Citizen's Convenience Center,8/9/2023,531.6,53
Citizen's Convenience Center,11/9/2023,1109.4,111
Citizen's Convenience Center,15/9/2023,704.6,70
Citizen's Convenience Center,4/10/2023,422.8,42
Citizen's Convenience Center,9/10/2023,411.4,41
Citizen's Convenience Center,16/10/2023,645.6,65
Citizen's Convenience Center,18/10/2023,559.4,56
Citizen's Convenience Center,23/10/2023,798.4,80
Citizen's Convenience Center,10/11/2023,773.4,77
Citizen's Convenience Center,13/11/2023,914.6,91
Citizen's Convenience Center,1/12/2023,890,89
Citizen's Convenience Center,6/12/2023,563.7,56
Citizen's Convenience Center,13/12/2023,564.4,56
Citizen's Convenience Center,15/12/2023,604.4,60
Citizen's Convenience Center,17/1/2024,2057,206
Citizen's Convenience Center,22/1/2024,1019,102
Mills Park,7/2/2024,207,21
Citizen's Convenience Center,16/2/2024,596.6,60
Mills Park,19/2/2024,282.8,28
Mills Park,1/3/2024,461.8,46
Citizen's Convenience Center,8/3/2024,779.8,78
Citizen's Convenience Center,18/3/2024,1024.8,102
Mills Park,18/3/2024,615.8,62
Citizen's Convenience Center,20/3/2024,1034.6,103
Citizen's Convenience Center,22/3/2024,983.8,98
Mills Park,22/3/2024,318.8,32
Mills Park,1/4/2024,556.8,56
Mills Park,3/4/2024,506.8,51
Mills Park,15/4/2024,714.8,71
Citizen's Convenience Center,22/4/2024,1175.8,118
Mills Park,15/5/2024,271.8,27
Mills Park,31/5/2024,548.8,55
Citizen's Convenience Center,3/6/2024,1344.8,134
Mills Park,5/6/2024,234.8,23
Mills Park,7/6/2024,448.8,45
Citizen's Convenience Center,14/6/2024,647.2,65
Mills Park,17/6/2024,350.8,35
Mills Park,21/6/2024,290.8,29
Citizen's Convenience Center,26/6/2024,788,79
Mills Park,28/6/2024,362.8,36
Mills Park,3/7/2024,328.8,33
Citizen's Convenience Center,15/7/2024,1062.6,106
Citizen's Convenience Center,19/7/2024,428.8,43
Mills Park,24/7/2024,248.8,25
Mills Park,2/8/2024,343.8,34
Citizen's Convenience Center,5/8/2024,1114.8,111
Mills Park,5/8/2024,553.8,55
Citizen's Convenience Center,12/8/2024,799,80
Mills Park,14/8/2024,248.8,25
Citizen's Convenience Center,16/8/2024,645.2,65
Citizen's Convenience Center,21/8/2024,953.2,95
Citizen's Convenience Center,26/8/2024,1487,149
Mills Park,6/9/2024,295.8,30
Mills Park,18/9/2024,179.8,18
Mills Park,27/9/2024,286.8,29
Citizen's Convenience Center,4/9/2024,362.6,36
Citizen's Convenience Center,18/9/2024,455.6,46
Mills Park,4/10/2024,354.8,35
Mills Park,9/10/2024,308.8,31
Mills Park,11/10/2024,267.8,27
Mills Park,14/10/2024,464.8,46
Mills Park,18/10/2024,427,43
Mills Park,23/10/2024,538.8,54
Citizen's Convenience Center,2/10/2024,754.2,75
Citizen's Convenience Center,4/10/2024,527,53
Citizen's Convenience Center,9/10/2024,760.4,76
Citizen's Convenience Center,11/10/2024,333.6,33
Citizen's Convenience Center,21/10/2024,1073.2,107
Citizen's Convenience Center,23/10/2024,532.8,53
Citizen's Convenience Center,13/11/2024,606.4,61
Citizen's Convenience Center,18/11/2024,1217.8,122
Citizen's Convenience Center,20/11/2024,693.2,69
Citizen's Convenience Center,30/11/2024,1181.8,118
Citizen's Convenience Center,11/12/2024,804.6,80
Citizen's Convenience Center,20/12/2024,685.6,69
Mills Park,4/11/2024,573.8,57
Mills Park,15/11/2024,334.8,33
Mills Park,20/11/2024,369.8,37
Mills Park,25/11/2024,397.8,40
Mills Park,6/12/2024,593.8,59
Mills Park,18/12/2024,337.6,34
Citizen's Convenience Center,17/1/2025,680,68
Citizen's Convenience Center,27/1/2025,1958.8,196
Citizen's Convenience Center,3/2/2025,1294.8,129
Citizen's Convenience Center,10/2/2025,1256.8,126
Citizen's Convenience Center,19/2/2025,887.2,89
Citizen's Convenience Center,24/2/2025,708.2,71
